gene_id	Calu3_totalRNA-S1-4h-A	Calu3_totalRNA-S1-4h-B	Calu3_totalRNA-S1-12h-A	Calu3_totalRNA-S1-12h-B	Calu3_totalRNA-S1-24h-A	Calu3_totalRNA-S1-24h-B	Calu3_totalRNA-S2-4h-A	Calu3_totalRNA-S2-4h-B	Calu3_totalRNA-S2-12h-A	Calu3_totalRNA-S2-12h-B	Calu3_totalRNA-S2-24h-A	Calu3_totalRNA-S2-24h-B	Calu3_totalRNA-mock-4h-A	Calu3_totalRNA-mock-4h-B	Calu3_totalRNA-mock-24h-A	Calu3_totalRNA-mock-24h-B	Calu3_totalRNA-untr-4h-A	Calu3_totalRNA-untr-4h-B
ENSG00000140943.17	1013	1715	592	473	284	259	1641	1489	485	451	360	450	1374	1506	1713	1540	1370	1778
ENSG00000140945.17	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1
ENSG00000140948.11	288	305	102	136	64	40	316	364	115	84	77	108	260	233	233	286	246	353
ENSG00000140950.16	168	320	126	61	52	66	362	328	65	84	123	131	259	240	285	233	258	295
ENSG00000140955.10	0	0	2	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0
ENSG00000140961.13	54	100	26	34	30	22	92	93.5	31	49	53.5	57	62	103.17	53.5	36.5	67	63
ENSG00000140968.11	33	57	38	19	21	19	70	62	22	29	31	41	46	62	42	43	43.5	56
ENSG00000140983.14	555	931	464	333	190	191	1003	819	307	360	318	467	870	854	957	704	889	904
ENSG00000140986.8	0	0	1	1	1	1	2	1	4	4	9	8	0	0	0	0	0	1
ENSG00000140987.20	184	448	160	134	83	107	401	386	142	143	206	238	278	368	367	285	245	364
ENSG00000140988.16	5247	9358	4979	4302.5	2087	1862	9453.5	8097.5	4116	4421.5	3844.5	4506	7677	11459.5	9918.5	9662	7522.5	9734
ENSG00000140990.15	125	202	75	77	24	28	182	165	56	44	50	48	123	248	183	189	187	173
ENSG00000140992.19	449	771	326.5	267	189	181	829	737	290	299	246	370	583	526	653	608	590	690
ENSG00000140993.11	44	117	51	43	20	28	113	111.5	46	51	64	97	89	95	177	137	60	116
ENSG00000140995.16	436	716	250	237	133	117	863	635	191	262	261	304	655	647	610	493	707	779
ENSG00000141002.20	566	1039	458.5	429	232.5	228	1013.5	834.5	358	339.5	311	488.5	792.5	903.5	1089	912	917	945
ENSG00000141012.13	88	139	38	54	32	23	175	141	52	57	55	52	146	119	153	124	135	165
ENSG00000141013.17	195	338	158	145	69	84	350	263	112	143	107	143	288	280	269	266	289	285
ENSG00000141026.6	68	146	64	42	25	35	151	114	62	56	79	70	118	138	164	124	105	155
ENSG00000141027.21	684	1148	536	467	342	333	1151	1106	459	495	474	608	951	896	1404	1373	890	1130
ENSG00000141030.13	269	562	263	207	119	134	479	445	210	259	210	289	473	548	634	578	351	523
ENSG00000141034.9	64	112	49	36	16	18	143	111	45	27	41	49	67	121	103	100	84	127
ENSG00000141040.15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000141052.17	0	1	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0
ENSG00000141068.14	10.5	22.5	13	16	27.5	33.5	37.5	22	20.5	22	73	65.5	21.5	17	12.5	13	21	15
ENSG00000141076.18	703	1258	516	488	284	287	1416	1173	449	469	466	609	1147	1453	1144	1239	1034	1189
ENSG00000141084.11	201	387	169	165	118	111	360	318	155	164	180	193	280	274	366	340	340	373
ENSG00000141086.18	12.5	14.5	6	5.5	3	4.5	22.5	14.5	4.5	9	10.5	13.5	13	15.5	15	16.5	12	14.5
ENSG00000141098.13	173	263	117	105	52	50	269	264	105	77	81	77	204	190	223	229	226	217
ENSG00000141101.13	651	1155	398	332	188	191	1208	983	409	374	367	510	939	1227	954	897	786	961
ENSG00000141127.15	139	266	97	97	38	49	270	225	80	83	86	112	217	260	289	229	201	244
ENSG00000141179.13	125	244	79	76	46	45	192	190	68	91	86	90	194	249	353	248	162	284
ENSG00000141194.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000141198.16	193	330	188	88	66	74	286	338	109	130	122	120	296	329	382	366	255	348
ENSG00000141219.15	289	586	223	162	100	91.5	542	492	180	190	194	282	400	432	457	402	332	439
ENSG00000141232.5	429	662	274	223	118	102	688	619	220	176	235	320	538	709	668	610	715	775
ENSG00000141252.20	390.5	534	231	191	133	124	618	503	211.5	184	196	236	494.5	472	484	524	467	498
ENSG00000141255.12	0	0	0	0	0	0.5	0	1	0	0	0	0	0.5	0	0	0	0.5	1
ENSG00000141258.13	291	492	179	167	73	71	515	435	132	121	89	84	414	425	408	354	481	443
ENSG00000141279.16	1249	1870	900	807	490	450	2065	2029	843	822	606	931	1745	1825	1761	1867	1547	2135
ENSG00000141293.16	60	115	36	22	13	11	80	89	27	32	16	31	83	94	84	83	81	97
ENSG00000141294.10	12	16	4	5	1	2	8	3	11	6	2	3	8	6	10	5	5	12
ENSG00000141295.14	82	180	50	53	21	26	182	143	41	44	34	48	109	156	175	131	119	172
ENSG00000141298.19	157	295	152	149	88	63	313	269	128	115	154	182	208	183	292	316	234	258
ENSG00000141314.13	0	1	0	0	0	1	0	0	0	2	3	1	0	0	2	1	0	1
ENSG00000141337.12	13.5	26	4.5	4	1	3	26.5	21.83	3.5	1.5	2	6	25	15	8	16.5	11	13
ENSG00000141338.14	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1
ENSG00000141349.8	396	752	314	243	107	114	764	589	230	235	208	262	627	765	648	611	716	774
ENSG00000141367.11	3335	5243	2081	2014	1334	1300	5081	4874	1830	1805	1753	2410	4525	4411	6075	6115	3946	5592
ENSG00000141371.13	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0
ENSG00000141376.22	59	96	30	21	18	11	95	97	29	32	20	24	88	80	115	79	91	102
ENSG00000141378.14	204	356	89	99	66	67	346	289	111	111	125	178	302	361	320	311	225	286
ENSG00000141380.14	509	927	398	252	192	159	866	732	312	295	241	378	739	726	844	811	616	884
ENSG00000141384.12	130	274	101.5	71	70	93	273	284	110	88.5	133	161	214	234	221	214	149	219
ENSG00000141385.9	732	1167	470	399	281	264	1375	1215	431	396	362	445	1121	1204	1124	1040	854	1111
ENSG00000141391.14	23	40	23	18	8	5	37	26	10	15	9	16	45	31	40	29	30	28
ENSG00000141401.12	34	47	47	35	19	8	78	52	41	33	23	15	50	66	87	96	55	48
ENSG00000141404.16	4	6	1	0	1	0	8	1	0	0	0	0	3	4	4	6	2	4
ENSG00000141424.13	1019	1782	559	459	265	232	1629	1425	541	493	344	504	1361	1517	1366	1341	1203	1610
ENSG00000141425.18	477	885	363	258	176	161	873	809	278	300	293	378	744	862	821	808	592	931
ENSG00000141428.17	95	158.5	73.5	80	32.5	31	161	135.5	55.5	75.5	62.5	74	144.5	198.5	160.5	169.5	128	151.5
ENSG00000141429.13	1191	2154	908	610	311	300	1858	1787	711	659	382	617	1711	1928	2403	2092	1419	2082
ENSG00000141431.12	15	14	3	1	4	0	14	8	3	3	3	3	4	5	4	1	2	8
ENSG00000141433.13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141434.11	0	1	1	1	0	0	1	0	1	2	3	0	2	0	0	1	0	1
ENSG00000141437.8	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
ENSG00000141441.16	219	348	151	110	145	110	344	293	202	162	236	277	278	240	418	410	283	396
ENSG00000141446.11	390	602	281	186	189	153	536	515	216	230	166	285	484	560	633	573	371	603
ENSG00000141447.18	222	372.5	169	124.5	76.5	82.5	443	437	173.5	155.5	106.5	133	400.5	387	434	401.5	337	420
ENSG00000141448.9	258	394	189	126	140	122	374	412	253	252	211	266	243	279	314	307	252	323
ENSG00000141449.14	52	90	46	37	36	27	83	88	42	52	47	57	75	90	78	80	79	75
ENSG00000141452.9	124	178	76	60	59	58	209	193	84	86	83	98	154	229	189	136	140	165
ENSG00000141456.14	164	170	55	48	28	32	147	163	58	85	69	124	142	115	162	191	134	165
ENSG00000141458.13	436	751	362	354	286	285	758	643	331	352	385	505	528	542	830	672	543	655
ENSG00000141469.18	0	1	0	0	0	1	1	0	0	0	0	0	3	1	0	0	3	0
ENSG00000141480.18	57	133	64	45	27	12	119	102	38	47	33	41	116	134	227	180	91	134
ENSG00000141485.16	8	3	0	1	0	1	6	3	2	3	2	12	1	4	5	4	2	5
ENSG00000141497.14	3	9	1	5	3	5	14	10	8	8	7	9	5	13	6	9	13	13
ENSG00000141499.16	96	141	84	51	29	18	161	114	64	87	47	79	97	150	183	150	112	144
ENSG00000141503.16	504	682	361	294	149	144	816	665	275	301	255	311	612	511	743	692	599	700
ENSG00000141504.11	62	113	41	28	15	22	117	95	28	14	33	26	88	101	92	60	77	110
ENSG00000141505.12	1	4	0	1	0	0	2	0	0.33	0	0	4	1	0	2	2	1	3
ENSG00000141506.13	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	1
ENSG00000141510.17	234	288	97	178	79	65	277	258	110	126	128	162	264	273	396	480	262	318
ENSG00000141519.15	34	59	13	7	5	2	35	40	2	4	7	4	33	41	37	28	36	57
ENSG00000141522.12	780	922	437	352	141	155	1003	890	329	348	308	391	884	1004	771	648	760	980
ENSG00000141524.15	344.5	570.5	234	189.5	108	89	571	509.5	183	186	181.5	193.5	460.5	446	500.5	472	477	520.5
ENSG00000141526.16	95	149.5	63	49	34	34	161	138	49	85	95	143	171	153	149	123	104	127
ENSG00000141527.18	20	34	23	38	24	13	43	36	26	19	5	12	25	24	14	28	29	39
ENSG00000141540.11	4	6	5	2	1	2	5	10	1	2	4	1	3	4	4	5	0	9
ENSG00000141542.11	100	124	48	56	19	14	118	110	32	27	26	26	132	119	146	133	143	187
ENSG00000141543.11	657	1022	483	387	209	193	1166	948	420	448	446	521	907	1086	1104	1029	665	983
ENSG00000141551.14	452	587	223	174	132	124	666	607	243	270	206	248	469	455	535	484	468	518
ENSG00000141552.17	192.5	387	198	153	52.5	64	426	329	111	114	157.5	158.5	347	491.5	456	417	411	418.5
ENSG00000141556.21	381	618	285	278	164	148	672	606	294	280	198	256	511	560	791	773	552	600
ENSG00000141560.15	238	457	200	141	85	90	485	373	135	167	113	171	359	466	513	505	410	451
ENSG00000141562.18	138.5	261	140	70	56	39	240	210	81	62	95	124.5	200.5	239	350	325.5	208	269
ENSG00000141564.15	189	242	119	124	73	50	258	232	122	134	154	168	213	227	201	201	162	243
ENSG00000141568.21	643	1094	483	382	229	216	1169	994	463	415	420	526	870	866	1143	1084	832	933
ENSG00000141569.12	221	396	148	109	68	42	415	399	100	129	75	86	316	331	249	249	318	359
ENSG00000141570.11	90	136	67	50	34	29	163	120	55	45	65	76	117	163	143	114	122	161
ENSG00000141574.7	12	22	14	15	13	13	18	24	61	40	100	118	8	14	7	6	20	28
ENSG00000141576.16	19	26	11	11	9	1	35	47	6	11	8	7	31	49	50	29	36	49
ENSG00000141577.14	111	178	95	81	44	44	169	160	55	85	64	58	194	143	222	172	172	191
ENSG00000141579.7	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000141580.16	766	1428	616	486	274	290	1561	1307	517	488	515	598	1239	1245	1444	1272	998	1302
ENSG00000141582.15	173	319	158	122	71	78	262	255	140	142	187	247	234	297	305	245	270	285
ENSG00000141622.14	25	41	14	9	5	3	20	24	7	6	5	5	15	21	5	16	20	14
ENSG00000141627.13	259	567	203	214	100	60	530	493	190	210	161	221	405.5	480	540	498	405	555
ENSG00000141639.12	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0
ENSG00000141642.9	45.5	83	25.5	20	19	18	94	77.5	36	35.5	29	54.5	61.5	71	75.5	62.5	52	79.5
ENSG00000141644.17	378	654	308	251	236	236	718	562	277	301	459	512	485	502	501	509	487	594
ENSG00000141646.13	342.5	550	214	179.5	105	117.5	456	466	228	223	179	236.5	410.5	474.5	473.5	476.5	378.5	596
ENSG00000141655.17	818	1390	540	471	344	271	1398	1155	465	469	386	539	1072	914	1248	1183	900	1051
ENSG00000141664.9	352	543	458	378	435	395	632	596	629	635	561	736	460	430	740	675	447	531
ENSG00000141665.12	2	8	2	3	0	2	5	7	5	4	0	1	6	5	4	14	4	17
ENSG00000141668.10	0	0	0	0	1	0	2	3	0	1	1	3	2	0	0	0	1	2
ENSG00000141682.11	190	329	336	165	382	309	316	277	756	533	1312	1621	222	284	258	222	177	264
ENSG00000141696.13	165	274	105	101	40	38	280	257	76	103	101	106	251	258.5	232	238	237	268
ENSG00000141698.16	291	575	247	205	82	83	583	468	177	209	106	189	502	609	455	421	441	541
ENSG00000141699.11	502	876	387	327	197	193	929	734	269	352	344	321	713	674	917	780	789	913
ENSG00000141736.13	28797	48744	20883	17663.5	8427.5	8274.5	51081.5	44110.5	14978.5	15874	14057	17147.5	41686	40914.5	61013	53579	43742	53470
ENSG00000141738.14	2153	3769	3390.5	3037	2029	1937	4069	3280	2978.5	3055	3391.5	3748	3536.5	3836.5	10134	8399	5635	6481
ENSG00000141741.12	3087	5559.5	2402	2221	1006	1006	5816	4506	1955	2057.5	1982	2224.5	5079	7710	6689	5894	6068	6208
ENSG00000141744.3	15	46	8	7	5	2	35	17	4	4	10	5	43	41	26	17	31	44
ENSG00000141748.12	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
ENSG00000141750.7	2	0	0	1	0	0	0	0	1	0	1	0	0	6	0	1	1	2
ENSG00000141753.7	324	599	174	149	41	46	734	608	191	231	183	237	407	522	165	177	359	412
ENSG00000141756.18	10	25	10	4	0	1	11	12	0	7	7	3	10	12	21	7	9	27
ENSG00000141759.15	277	541	229	142	83	79	519	496	168	154	114	155	465	650	486	452	387	522
ENSG00000141837.19	4	5	2	2	0	0	5	3	5	0	1	4	2	0	3	2	5	5
ENSG00000141854.9	13	13	4	8	0	1	12	7	3	1	4	2	7	10	9	12	5	13
ENSG00000141858.11	154	301	100	90	47	24	299	193	82	92	44	57	192	233	318	277	197	227
ENSG00000141867.17	240	152	81	77	77	70	191	183	95	69	103	120	145	119	134	140	165	186
ENSG00000141873.11	91.5	189	66	64.5	37	23.5	203	155	59	57	70	83	147.5	183.5	153.5	155.5	186.5	204
ENSG00000141905.19	173	63	28	35	8	14	96	110	44	26	28	49	74	46	60	91	62	112
ENSG00000141933.9	29	44	12	6	3	2	34	36	8	19	19	27	20	40	30	36	55	46
ENSG00000141934.10	309	472	157	159	89	88	595	400	156	170	160	227	415	485	415	412	381	514
ENSG00000141946.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
ENSG00000141956.13	85	176	66	46	36	36	186	162	65	55	53	58	141	120	193	150	127	139.5
ENSG00000141959.17	309	616	317	250	129	138	650	490	222	260	268	328	448	434	986	816	422	566
ENSG00000141965.4	379	636	283	207	157	103	746	549	207	224	280	353	521	548	454	412	520	557
ENSG00000141968.8	2	8	5	1	0	2	9	7	0	13	1	7	5	10	2	3	1	6
ENSG00000141971.13	117.5	240.5	100	89	28	40	252	194.5	81	89	59	104.5	196	258	272	224.5	209	263
ENSG00000141977.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
ENSG00000141979.4	30.33	52.33	24.33	18.67	7.83	16	38.67	37.83	22.5	27.67	21	20.33	43.17	28.83	37.67	30.83	21.17	37.33
ENSG00000141985.9	461	816	285	230	123	117	875	673	247	248	210	301	658	805	581	523	763	836
ENSG00000141994.16	74.5	169.5	88.5	37.5	35	20.5	193	194.83	75	95.5	102.5	94.5	171.5	207.83	163.5	124	164	179
ENSG00000142002.17	256	403	166	111	68	66	427	375	113	170	147	192	307	286	331	271	259	341
ENSG00000142025.16	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0
ENSG00000142039.4	348	570	254	174	115	96	628	451	233	255	225	251	422	540	511	404	519	512
ENSG00000142046.15	8	14.5	5	8.5	2.5	2	9.5	10	7	1.5	2	5.5	7	15.5	20.5	25.5	10	16.5
ENSG00000142065.14	55	92	19	30	23	22	71	70	30	27	26	26	59	67	98	100	70	88
ENSG00000142082.15	85	118	50	45	31	20	147	116	31	53	40	48	98	130	157	100	106	151
ENSG00000142089.16	203	235	107	154	210	196	214	185	261	226	584	777	149	197	128	178	176	240
ENSG00000142102.15	50	79	39	35	31	26	79	83	52	46	36	66	46	61	74	62	69	82
ENSG00000142149.9	6	8	5	10	0	3	4	4	6	1	2	0	2	6	4	4	6	3
ENSG00000142156.14	822	996	332	272	123	105	936	890	183	260	168	216	742	730	504	485	623	906
ENSG00000142166.13	359	593	237	181	131	101	458	486	157	160	124	176	532	478	647	684	383	625
ENSG00000142168.14	964	1742	803	644	316	299	1761	1438	628	615	666	814	1567	2362	2079	1893	1426	1743
ENSG00000142173.15	413	718	255	172	101	68	712	582	134	175	146	192	506	514	464	361	473	626
ENSG00000142178.8	5	4	0	0	1	2	5	5	4	1	3	0	4	1	3	0	4	6
ENSG00000142185.16	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000142186.17	459	771	353	276	215	192	944	789	322	321	368	389	637	762	731	675	686	816
ENSG00000142188.17	169	322	136	103	48	67	293	276	104	116	110	181	273	351	285	269	239	333
ENSG00000142192.21	4154	6990	2442	2123	1149	1121	6698	5542	2181	1997	1817	2542	5902	6330	6582	5823	5777	7500
ENSG00000142197.12	102	140	73	61	29	25	160	146	69	86	37	93	128	112	125	96	143	167
ENSG00000142207.7	456	736.5	259	272	154	126	709	697	301	299	300	349	622	511	470	605	473	576
ENSG00000142208.16	887	1639	762	630	305	285	1733	1392	688	744	583	783	1386	1487	1701	1531	1333	1428
ENSG00000142224.15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142227.11	33	78	24	29	6	7	69	49	8	15	9	15	57	79	22	18	57	60
ENSG00000142230.11	1424	2441	1232	1013	631	632	2629	2213	1003	1026	956	1234	2291	2653	3706	3090	2277	2658
ENSG00000142233.11	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	1
ENSG00000142235.9	18	19	12	11	3	4	20	19	7	5	9	17	15	13.5	26	19	16	30
ENSG00000142252.10	88.5	155	68	50.5	34.5	31	184	126.5	81	72.5	71.5	106.5	130.5	200.5	143	151.5	156.5	167
ENSG00000142273.12	164	270	138	110	56	53	315	245	94	103	134	160	237	296	300	274	215	257
ENSG00000142279.12	50	84	31	26	17	5	93	78.5	21	34	23	29	67	69	60	54	79	109
ENSG00000142303.14	1	2	0	2	1	0	5	0	0	0	0	1	0	2	3	2	3	0
ENSG00000142319.18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000142327.13	286	277	118	133	45	53	337	333	117	105	47	91	281	297	255	300	292	404
ENSG00000142330.20	176	304	125.5	101.5	53.5	54.5	369	307.5	131	115.5	100.5	137.5	305.5	302.5	294	249	291.5	338
ENSG00000142347.17	0	4	2	3	1	0	1	4	1	2	1	0	2	2	5	3	1	8
ENSG00000142396.10	333.83	567.83	282.5	263.17	168.5	160.17	570.33	507	397.66	436.83	342.66	413.5	503.66	499.66	546.33	475.83	442.33	599.5
ENSG00000142405.21	0	1	2	1	1	0	0	2	0	2	0	2	2	5	1	4	3	2
ENSG00000142408.4	96	139	61.5	58.5	60	39.5	135.5	173.5	85.5	64	50	67.5	89	73	98	98	109.5	128
ENSG00000142409.6	315	613	333	245	193	140	612	476	328	403	366	499	454	559	567	448	454	554
ENSG00000142444.7	40	113	46	31	17	10	105	91	39	35	42	46	71	80	102	85	77	84
ENSG00000142449.13	0	0	1	1	0	1	1	0	0	1	0	0	1	3	0	1	2	1
ENSG00000142453.11	152	191	65	64	40	29	233	183	86	68	77	53	192	126	147	159	164	176
ENSG00000142459.8	62	111	63	44	27	21	138	105	34	41	27	38	116	104	131	127	111	135
ENSG00000142484.7	0	0	1	0	0	0	3	1	0	0	0	1	0	1	0	2	1	3
ENSG00000142494.13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000142507.10	353	667	304	255	175	167	669	546	254	258	279	353	606	911	994	947	585	741
ENSG00000142511.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000142512.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142513.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142515.15	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	2
ENSG00000142528.16	384	725	352	304	335	330	773	673	342	413	368	485	686	722	739	632	467	629
ENSG00000142530.10	20	29	11	7	9	3	43	38	2	8	9	11	35	23	31	21	29	29
ENSG00000142534.7	4242	7898.5	3437.5	3039.5	1194	1324.5	8754.5	6832	2770.5	2801	2694	3025.5	7144	11555	8007	7235	7029.5	8386.5
ENSG00000142538.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ENSG00000142539.9	12.5	20	12.5	7.5	3	4	22.5	16	7.5	9.5	6	11.5	15.5	15.5	22.5	25.5	20	24
ENSG00000142541.17	4960.5	9384	4229	3540	1677.5	1777.5	10684	8057	3256.5	3222	3245	3894	8750	13009	11221	10088.5	8581	10056
ENSG00000142544.7	56	123	67	30	13	14	120	85	32	31	37	53	63	95	93	61	90	104
ENSG00000142546.13	317	589	276	198	108	142	657	470	200	271	311	349	525	772	704	650	658	692
ENSG00000142549.9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0
ENSG00000142552.8	4	14	6	2	7	3	15	18	2	5	1	3	10	11	11	12	8	15
ENSG00000142556.19	175	285	122	111	74	84	333	289	134	106	125	162	232	219	262.5	286	161	245
ENSG00000142583.17	1	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3
ENSG00000142599.18	124	125	88	69	57	35	133	148	57	74	68	93	109	131	178	163	119	160
ENSG00000142606.16	3	4	2	3	3	1	16	12	4	0	3	6	9	7	18	21	4	13
ENSG00000142609.18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611.17	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
ENSG00000142615.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000142619.4	0	12	0	0	1	1	17	5	1	0	0	1	10	7	4	0	7	1
ENSG00000142621.19	13	8	1	4	1	4	3	8	1	1	0	3	10	9	16	5	10	6
ENSG00000142623.11	71	157	33	29	12	17	166	125	26	28	15	17	84	85	56	53	90	86
ENSG00000142627.13	814	1287	540	436	356	414	1453	1207	555	620	711	839	1104	1073	1456	1204	758	971
ENSG00000142632.17	49	78	44	44	11	12	81	76	33	27	32	46	76	77	133	103	68	86
ENSG00000142634.13	517	807	355	271	117	107	863	701	231	239	234	300	705	722	727	708	531	612
ENSG00000142655.13	40	49	30	26	11	9	58	52	27	25	26	43	56	53	59	62	69	56
ENSG00000142657.21	1311	2306	946	775	486	455	2338	1893	728	768	730	834	2153	2298	3026	2567	1889	2321
ENSG00000142661.19	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
ENSG00000142669.15	159	260	89	83	41	43	308	202	97	93	53	80	174	291	212	187	194	241
ENSG00000142675.18	22	34	21	23	29	22	58	26	25	19	22	44	28	22	23	35	33	50
ENSG00000142676.14	2223	3716	1603	1269	647	687	4223	3589.5	1504	1335	1150	1443.5	3195	4537	3739	3335	2732	3263
ENSG00000142677.4	8	12	8	7	8	11	12	8	35	32	28	32	6	8	10	5	12	17
ENSG00000142684.9	127	234	86	57	43	50	235	169	58	65	70	98	169	289	179	184	180	197
ENSG00000142686.8	169	317	115	97	63	62	332	287	89	128	89	118	252	303	261	209	239	300
ENSG00000142687.18	597	931	441	410	204	217	1073	975	297	364	287	436	903	824	1115	848	833	1040
ENSG00000142694.6	31	61	22	10	9	5	63	58	12	25	13	26	34	64	60	45	51	57
ENSG00000142698.15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000142700.12	0	1	0	0	0	0	0	2	0	1	0	1	1	0	0	0	3	7
ENSG00000142731.11	118	235	146	114	110	78	203	179	143	168	121	204	205.5	171	480	426	156	264
ENSG00000142733.16	35	68	40	42	12	14	72	63	52	39	17	20	57	59	69	109	47	65
ENSG00000142748.12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000142751.15	206	328	130	110	51	52	346	283	101	104	118	140	275	300	247	228	230	282
ENSG00000142765.18	60	121	42	47	23	19	99	88	30	27	30	27	89	76	122	93	70	93
ENSG00000142784.16	51	65	17	24	10	11	74	71	14	26	29	25	59	57	75	81	67	81
ENSG00000142789.19	0	0	0	0	0	0	0	0	1	0	0	0	0.5	1	0.5	0	0	0.5
ENSG00000142794.18	42	61	14	11	2	8	58	52	10	14	16	18	44	46	55	41	40	49
ENSG00000142798.20	1664	1196	551	562	315	257	1476	1541	467	392	513	644	991	920	952	1010	1134	1340
ENSG00000142856.16	150	248	132	74	54	41	216	180	96	103	52	141	221	339	351	381	185	241
ENSG00000142864.14	3022	5067	1914	1381	857	874	4559	4197	1609	1490	1106	1548	4270	4987	5080	4828	3362	4537
ENSG00000142867.13	229	387	188	140	138	141	385	354	236	237	270	348	326	320.5	416	439	223	342
ENSG00000142871.17	664	936	338	307	249	216	989	886	568	534	403	380	692	808	592	552	608	862
ENSG00000142875.19	402	623	306	217	106	119	508	536	243	261	137	228	425	593	1247	1054	458	674
ENSG00000142892.15	254	484	207	144	73	78	443	355	162	158	147	167	403	516	675	643	367	520
ENSG00000142910.16	2216.5	4332	1623.5	1195	685	635	4064.5	3423.5	1202.5	1278	1697	2024.5	3141.5	3709	4031	3422.5	3159	3807.5
ENSG00000142920.17	11	18	5	2	4	4	19	7	10	8	20	22	7	13	8	5	7	9
ENSG00000142937.12	4195.17	7902.67	3155.67	2364.83	1163.83	1125.5	8172.67	6762.67	2320.5	2388.83	1923.33	2325.17	7264.5	9779.83	7748.33	6777.17	5650.5	7393.33
ENSG00000142945.13	318	541	410	361	287	281	623	557	304	325	543	630	524	577	2063	1788	571	642
ENSG00000142949.17	2547	3629	1423	1281	560	545	4236	3834	1401	1349	719	822	3251	2680	3274	3052	3133	3763
ENSG00000142959.5	1	1	0	0	0	1	1	4	0	0	2	0	4	2	2	6	4	0
ENSG00000142961.14	69.5	110.5	90.5	92	71.5	54.5	120	103	178	211.5	116.5	161	98.5	107	108	108	90	97
ENSG00000142973.13	0	1	2	2	0	6	0	2	0	0	2	5	0	3	0	2	2	0
ENSG00000143001.5	0	3	0	1	1	0	6	2.5	0	0	0	0	0	3	2	2	3	4
ENSG00000143006.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000143013.13	589	1135	403	331	180	165	1069	931	301	332	243	278	952	1092	1304	1193	1002	1340
ENSG00000143028.9	0	5	0	0	0	0	5	1	3	0	0	3	1	0	1	0	0	2
ENSG00000143033.18	213	383	237	173	194	186	405	371	296	275	353	421	312	326	463	487	311	450
ENSG00000143036.17	266	381	163	146	61	56	421	392	160	125	85	104	351	369	398	341	332	456
ENSG00000143061.17	444	636	271	235	131	111	664	576	170	200	150	216	521	487	628	565	520	691
ENSG00000143067.5	87	162	101	74	79	79	123	146	68	75	132	154	106	88	83	95	98	130
ENSG00000143079.15	367	733.5	308	246	138	194	681	558	278	274	321	344	506	547	831.5	740	584	614
ENSG00000143093.15	200	322	109	131	74	94	382	293	135	145	185	180	265	300	310	265	248	337
ENSG00000143105.7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ENSG00000143106.13	558	1022	474	450	278	289	1017	922	464	462	594	696	955	1465	1232	1150	870	1083
