gene_id	Calu3_totalRNA-S1-4h-A	Calu3_totalRNA-S1-4h-B	Calu3_totalRNA-S1-12h-A	Calu3_totalRNA-S1-12h-B	Calu3_totalRNA-S1-24h-A	Calu3_totalRNA-S1-24h-B	Calu3_totalRNA-S2-4h-A	Calu3_totalRNA-S2-4h-B	Calu3_totalRNA-S2-12h-A	Calu3_totalRNA-S2-12h-B	Calu3_totalRNA-S2-24h-A	Calu3_totalRNA-S2-24h-B	Calu3_totalRNA-mock-4h-A	Calu3_totalRNA-mock-4h-B	Calu3_totalRNA-mock-24h-A	Calu3_totalRNA-mock-24h-B	Calu3_totalRNA-untr-4h-A	Calu3_totalRNA-untr-4h-B
ENSG00000246523.7	0	3	2	0	0	1	1	0	0	0	4	7	0	0	4	3	0	0
ENSG00000246526.2	0	0	0	2	1	0	0	0	0	1	1	0	1	3	1	0	4	3
ENSG00000246528.3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000246548.3	0	1	0	0	3	0	1	2	0	0	0	0	0	0	1	0	2	1
ENSG00000246560.2	3	14	2	3	3	0	19	10	0	7	7	6	3	11	12	25	13	26.5
ENSG00000246575.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000246582.2	50	94	45	38	26	16	97	68	38	49.5	36	42	76	90	99	100	53	71.5
ENSG00000246596.7	32	41	32	22	13	17	50	55	26	26	24	21	33	47	69	62	48	53
ENSG00000246627.6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000246640.1	11	20	5	5	0	1	29	28	6	11	7	9	24	14	16	10	15	23
ENSG00000246662.6	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0
ENSG00000246695.7	8	23	4	15	3	0	14	22	4	4	2	3	18	19	15	22	16	25
ENSG00000246705.4	212	368	195	151	109	95	394	290	148	116	233	312	328	492	749	626	305	418
ENSG00000246731.2	0	1	5	1	0	0	2	0	1	1	1	1	3	5	1	1	2	0
ENSG00000246740.2	0	2	0	1	0	0	1	0	0	0	1	5	0	0	0	1	2	1
ENSG00000246763.6	7	6	4	4	1	2	8	6	5	8	8	10	6	11	2	7	4	6
ENSG00000246777.1	2	0	0	1	1	0	0	2	1	0	0	1	1	2	0	3	3	1
ENSG00000246790.2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246792.2	1	3	2	0	0	1	4	2	0	3	0	1	3	4	2	3	4	5
ENSG00000246820.2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000246851.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000246859.2	0	3	2	1	1	1	1	0	1	1	3	2	2	1	3	4	1	3
ENSG00000246863.2	0	3	2	3	2	1	1	2	2	1	7	5	3	1	1	2	4	3
ENSG00000246877.1	1	4	2	1	1	1	7	4	4	3	5	2	4	4	4	4	10	3
ENSG00000246889.2	10	15	5	11	2	4	21	22	4	4	3	5	17	13	18	7	20	14
ENSG00000246898.1	1	6	1	3	0	1	13	5	7	2	2	7	6	5	5	11	8	12
ENSG00000246922.8	41	54	20	20	8	5	63	77	27	26	20	20	42	38	52	33	48	58
ENSG00000246982.6	1	5	5	4	2	0	8	4	1	3	5	0	5	1	3	13	9	7
ENSG00000246985.7	6	5	4	1	0	4	5	11	1	7	6	2	1	17	2	0	6	2
ENSG00000247011.2	6	1	1	1	1	1	3	6	1	0	2	4	1	0	0	6	2	2
ENSG00000247033.1	1	4	2	0	0	0	0	1	3	0	0	0	1	0	3	2	0	0
ENSG00000247049.2	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0
ENSG00000247077.7	766.5	1393	661.5	474.5	292.5	235	1672.5	1368	496.5	526.5	480.5	606.5	1210.17	1274	1446.33	1171.5	1205	1266.5
ENSG00000247081.7	0	6	0	0	0	1	7	6	3	1	0	1	3	1	12	5	6	1
ENSG00000247092.6	59.5	122	57	30.5	23	15.5	85.5	76	47	48	39	65	68.5	104.5	78	80.5	67	72.5
ENSG00000247095.2	8	9	9	8	4	2	24	23	3	3	2	7	16	16	62	51	25	28
ENSG00000247121.6	7	4	4	3	5	3	6	14	7	12	5	10	5	8	9	10	8	14
ENSG00000247131.5	0	0	0	2	5	0	2	1	0	4	6	10	1	0	0	0	3	2
ENSG00000247134.6	1	2	1	0	0	0	0	0	1	0	0	0	1	2	1	1	2	1
ENSG00000247137.8	63	92	43	30	30	29	68	104	71	54	62	76	84	78	70	53	57	66
ENSG00000247151.7	3	3	6	2	1	0	7	2	1	4	3	4	6	5	13	7	2	4
ENSG00000247157.6	6	5	2	0	1	3	2	1	3	1	3	3	2	0	2	8	3	2
ENSG00000247193.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000247199.4	5	5	3	5	2	6	10	4	5	2	7	5	6	4	5	5	6	6
ENSG00000247213.6	0	0	1	0	0	0	2	0	0	0	3	0	0	1	2	1	1	0
ENSG00000247228.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0
ENSG00000247240.7	23	62	29	22	8	16	48	34	19	18	9	18	35	40	57	52	41	55
ENSG00000247271.6	21	30	19	21	23	11	29	52	23	19	66	64	50	68	57	33	46	43
ENSG00000247287.2	7	21	5	0	5	1	11	7	3	4	3	3	17	8	13	10	14	16
ENSG00000247315.3	85	138	73	44	40	27	181	123	68	49	62	65	122	113	126	140	104	122
ENSG00000247317.3	4	1	3	1	1	3	3	8	7	3	5	9	1	5	10	3	6	2
ENSG00000247324.2	1	9	4	2	0	2	3	5	2	8	0	1	6	9	3	2	8	9
ENSG00000247363.2	4	2	0	0	0	1	4	1	2	4	1	4	3	3	1	4	0	3
ENSG00000247372.2	0	1	0	1	2	0	1	1	3	0	0	0	0	3	3	0	1	0
ENSG00000247373.3	15	20	12	6	6	2	20	37	16	15	17	27	18	24	22	17	26	21
ENSG00000247381.3	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000247400.3	5	28	8	5	6	2	9	21	9	13	7	17	17	13	17	25	14	28
ENSG00000247416.3	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000247473.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000247498.9	6	13.5	6	1	0	2	8	9	2	5	1.33	6	3	7	10	16	11	10
ENSG00000247516.7	47	77	18	9	8	15	88	56	14	20	23	28	69	68	49	72.5	44	82.5
ENSG00000247556.6	531	985	304.5	244.5	149.5	133.5	766.5	812.5	257	255.5	177.5	260	729	642.5	875.5	980	629	910.5
ENSG00000247570.2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0
ENSG00000247572.7	55	110	35	41	21	12	93	83	33	26	53	35	67	75	126	103	85	111
ENSG00000247595.4	15	25	17	13	9	6	25	30	11	13.5	10	18	38.5	25	37	28	24.5	26.5
