X12.logFC	X12.P.Value
ENSG00000113504	-0.539257055147135	0.0912597285638135
ENSG00000114315	-0.8998297228	0.0151823730530113
ENSG00000115266	-0.9627438537	0.0516298859089801
ENSG00000115414	1.2781954095	0.0714060305884467
ENSG00000115738	-1.7894648356971	0.0704861748746956
ENSG00000116580	-0.593035992709027	0.0228823804797962
ENSG00000120129	-0.759939589	7.45276340232692e-06
ENSG00000120738	-1.371842557	2.7400609527876e-05
ENSG00000122176	0.7990928472	0.0336640677669824
ENSG00000122877	-1.6426424803	9.01785659479515e-08
ENSG00000123095	-1.9274851161	0.0636495902415531
ENSG00000123358	-1.7971520947	1.91225890733794e-05
ENSG00000123689	-0.891354097600002	0.0405225693828515
ENSG00000124103	-0.544875409300001	0.0616434032134504
ENSG00000125144	0.584020014899999	0.0121757543032462
ENSG00000125378	0.583845358999999	0.0440872738441242
ENSG00000125447	-0.6077464941	0.0971641141906078
ENSG00000125731	-1.9094633348	0.0900348179465561
ENSG00000125740	-1.3549227123	4.2598886077864e-07
ENSG00000127124	-0.593078227893437	0.0942563235352617
ENSG00000127528	-1.4985861138	0.0516298859089801
ENSG00000128016	-1.5975364017	7.50085445802265e-05
ENSG00000129757	0.547202163999999	0.0718166333261002
ENSG00000130522	-0.6944153504	0.0233892215280736
ENSG00000131400	-1.49970758345721	0.0585453366134981
ENSG00000131467	-0.515706646700001	0.0657649273340575
ENSG00000132003	-1.0632776349	0.0893124737858755
ENSG00000132326	-0.887471735249456	0.0549279799174736
ENSG00000133193	-0.602557043000001	0.0567460003486717
ENSG00000134107	-1.5692420131	0.0804917375339737
ENSG00000134363	0.915011147900001	0.0824475352201265
ENSG00000134508	-0.9602428288	0.0893124737858755
ENSG00000134571	-0.797145256500002	0.0826431491209915
ENSG00000135722	-5.3135865401	0.0645627963473959
ENSG00000136158	-0.662994077100001	0.0516298859089801
ENSG00000136244	-0.675786515579372	0.025866532775981
ENSG00000136527	-0.733125918247098	0.0695291113331439
ENSG00000136717	-0.624443461000002	0.078633020843461
ENSG00000136783	1.0271893335	0.0620718726206994
ENSG00000137210	1.0007135894713	0.0971913745017949
ENSG00000137270	-0.618915173500001	0.0838479431817627
ENSG00000137331	-0.656529918378101	1.91225890733794e-05
ENSG00000139725	-2.7432903996	0.0159071491369178
ENSG00000141582	-0.6791395772	0.0622844519149512
ENSG00000142615	-0.719775084300001	0.0588445653894102
ENSG00000143156	0.5123948628	0.0758546595300498
ENSG00000143315	0.612843641599999	0.0637937097200983
ENSG00000144476	-0.722631183000002	0.0945083468927788
ENSG00000146090	-1.1165779808	0.0516298859089801
ENSG00000146112	-0.516439650592507	0.0657649273340575
ENSG00000147174	-0.724825623600001	0.0384630759051262
ENSG00000147862	0.556684577948227	0.0912597285638135
ENSG00000148680	0.5653176412	0.025866532775981
ENSG00000148840	-1.0292162745	0.0646042409780808
ENSG00000149742	-0.502799034400001	0.0549279799174736
ENSG00000150773	-0.5094444548	0.0893124737858755
ENSG00000150990	-0.9144494339	0.0952121144207314
ENSG00000152454	-0.7487909392	0.0657649273340575
ENSG00000153002	-0.9872758633	0.0971913745017949
ENSG00000155506	-0.518299027000002	0.0645627963473959
ENSG00000155846	-1.03103381125349	0.0580596497740893
ENSG00000156030	-0.860844037100001	0.0838479431817627
ENSG00000158050	-1.1556853105	0.00239032955251486
ENSG00000158497	-0.509432688300001	0.0927867974494916
ENSG00000158615	-0.662682084	0.0826431491209915
ENSG00000158805	-0.553231166699999	0.0374622762766185
ENSG00000160888	-0.890121623000001	3.60472918492505e-06
ENSG00000161642	-0.813455861200001	0.0708511069085174
ENSG00000161835	-1.0506039033	0.0743644183388588
ENSG00000162949	-0.549370654300992	0.078633020843461
ENSG00000163121	-3.0599376535	0.0516298859089801
ENSG00000163354	-0.576538454000001	0.08395625959957
ENSG00000163734	-0.5845665441	0.0065283386523856
ENSG00000163739	-1.52636884807811	0.0189746573357201
ENSG00000163794	-1.0752857896	0.0820907027899118
ENSG00000164611	0.6285024322	0.0621636795741887
ENSG00000164683	-0.808338646000001	0.0292453121612939
ENSG00000164687	0.872460134591968	0.0927867974494916
ENSG00000164692	0.571309871700001	0.0694904635492108
ENSG00000164877	-0.8661988776	0.0588445653894102
ENSG00000166352	0.717637144800002	0.0971913745017949
ENSG00000166803	0.676196844100001	0.0637937097200983
ENSG00000166860	-0.5478432866	0.0325882151182616
ENSG00000166884	-0.6239402489	0.0912597285638135
ENSG00000167074	-0.6684631377	0.044094258610005
ENSG00000167657	-0.884485855000002	0.0959268931405114
ENSG00000167716	-0.863892854300001	0.096371819178696
ENSG00000167962	-0.662368923927301	0.0592544071987174
ENSG00000168140	0.8152305164	0.0716137464396836
ENSG00000168582	-0.867657009000001	0.072605830283827
ENSG00000168970	-0.7060867119	0.0708511069085174
ENSG00000169688	0.651345448	0.0921886576336838
ENSG00000169715	0.753980086900001	0.0622844519149512
ENSG00000170190	-0.755290776000002	0.0951960629312438
ENSG00000170345	-2.079433928	2.28469656082808e-07
ENSG00000171056	-0.911938415799999	0.0729831952258211
ENSG00000171223	-1.2863926021	0.00175840004224892
ENSG00000171450	-2.1593697804	0.0945879609766547
ENSG00000171604	-1.0993703252	0.0567460003486717
ENSG00000172262	-0.640653689999998	0.096371819178696
ENSG00000172794	-0.784442150445402	0.0700009057355003
ENSG00000173080	-1.0600756222	0.0666823871169559
ENSG00000173110	-0.928931321826741	0.0758546595300498
ENSG00000173503	-2.4249525837	0.0838479431817627
ENSG00000174669	-0.949940374299999	0.0970149027040388
ENSG00000174951	-1.3300372266	0.0588445653894102
ENSG00000176171	0.511600485999999	0.0516298859089801
ENSG00000176396	0.555568055363517	0.077754605939783
ENSG00000176890	0.929182810799999	0.0776663195820522
ENSG00000177125	-0.502568249500001	0.0520595710132773
ENSG00000177595	-0.705906314999999	0.0945780551489999
ENSG00000177606	-1.107124739	0.000377928985393713
ENSG00000177943	-0.605151725200001	0.0585453366134981
ENSG00000178502	-0.7121518904	0.0657649273340575
ENSG00000179388	-0.7125014745	0.000245583837199568
ENSG00000179598	-1.5904623861	0.0646042409780808
ENSG00000181035	-0.5092830138	0.078633020843461
ENSG00000181867	1.1332983589	0.0912597285638135
ENSG00000182329	-0.714501338099999	0.0971913745017949
ENSG00000183208	-0.511380909200001	0.0841437191996026
ENSG00000183579	-0.532484974309311	0.0187015509588367
ENSG00000183648	0.684411382000001	0.0728436465624968
ENSG00000183807	0.895286750000001	0.0516298859089801
ENSG00000184611	-0.554419429500001	0.0714060305884467
ENSG00000184924	0.667823356300002	0.0952121144207314
ENSG00000185222	0.861302036	0.0657649273340575
ENSG00000185829	-1.1423977171	0.0797177776366457
ENSG00000186174	-0.747856849154375	0.0567460003486717
ENSG00000186272	-1.1472763444	0.0636829659292149
ENSG00000187173	-0.8941847616	0.0567460003486717
ENSG00000187243	0.581212659500001	0.0527468923547806
ENSG00000187792	-0.7372975363	0.0169370446363596
ENSG00000188800	-0.7787503017	0.0516298859089801
ENSG00000196604	0.5035132124	0.0714060305884467
ENSG00000197183	-0.692134088117935	0.0527468923547806
ENSG00000197417	-0.612346818000004	0.0864022692307896
ENSG00000197483	-1.9390611714	0.0374622762766185
ENSG00000197860	0.5096057321	0.0954974152688474
ENSG00000198771	0.867526026200001	0.0233892215280736
ENSG00000198835	-0.932888109400001	0.0551556189839231
ENSG00000198856	0.917940428199999	0.0825043876981139
ENSG00000203760	1.0706989827	0.0494125617714255
ENSG00000204618	-1.0926355171	0.00368038010921573
ENSG00000205358	0.696525293733435	0.0236096608653866
ENSG00000205364	0.653243581000003	0.0585453366134981
ENSG00000206478	-0.656529918378101	1.91225890733794e-05
ENSG00000206485	-0.516439650592507	0.0657649273340575
ENSG00000206500	-1.0926355171	0.00368038010921573
ENSG00000213079	-0.583347696999998	0.0384988030565334
ENSG00000223919	-2.4249525837	0.0838479431817627
ENSG00000225060	-0.516439650592507	0.0657649273340575
ENSG00000226275	-2.4249525837	0.0838479431817627
ENSG00000226979	-2.4249525837	0.0838479431817627
ENSG00000227171	-1.0926355171	0.00368038010921573
ENSG00000227231	-0.656529918378101	1.91225890733794e-05
ENSG00000229998	-0.516439650592507	0.0657649273340575
ENSG00000230128	-0.656529918378101	1.91225890733794e-05
ENSG00000230279	-2.4249525837	0.0838479431817627
ENSG00000230332	-1.0926355171	0.00368038010921573
ENSG00000230341	-0.516439650592507	0.0657649273340575
ENSG00000230467	-1.0926355171	0.00368038010921573
ENSG00000231247	-0.516439650592507	0.0657649273340575
ENSG00000231408	-2.4249525837	0.0838479431817627
ENSG00000234000	-0.516439650592507	0.0657649273340575
ENSG00000235022	-1.0926355171	0.00368038010921573
ENSG00000235030	-0.656529918378101	1.91225890733794e-05
ENSG00000236428	-0.516439650592507	0.0657649273340575
ENSG00000236967	-1.0926355171	0.00368038010921573
ENSG00000237155	-0.656529918378101	1.91225890733794e-05
ENSG00000237733	-1.0926355171	0.00368038010921573
ENSG00000238130	-2.4249525837	0.0838479431817627
ENSG00000241476	-2.5428922416303	1.91225890733794e-05
ENSG00000244094	-0.575093507100003	0.0867085102369097
ENSG00000255181	-1.2437121869	0.0620718726206994
ENSG00000266733	-1.0439652785	0.0637937097200983
ENSG00000271503	0.5061981781	0.0588445653894102
ENSG00000272886	-0.538970598516247	0.0689756254794259
ENSG00000273707	0.547202163999999	0.0718166333261002
ENSG00000273777	0.626429478700001	0.0681795060832493
ENSG00000274233	0.5061981781	0.0588445653894102
ENSG00000274334	0.8152305164	0.0716137464396836
ENSG00000275395	-0.590349683600001	0.025866532775981
ENSG00000275722	-1.9402057649	0.0912597285638135
ENSG00000276021	-0.863892854300001	0.096371819178696
ENSG00000276482	-0.539257055147135	0.0912597285638135
ENSG00000276747	-1.3619365416	0.0770387889987063
ENSG00000277042	-1.9402057649	0.0912597285638135
ENSG00000278129	-0.718875318800002	0.0859518086602197
ENSG00000278565	0.5634389136	0.0759158867011809
ENSG00000278749	-1.2437121869	0.0620718726206994
ENSG00000280873	-0.945399899299999	0.0516298859089801
ENSG00000280949	-1.3619365416	0.0770387889987063
ENSG00000281123	-0.590349683600001	0.025866532775981
ENSG00000285222	0.609045547697101	0.0516298859089801
ENSG00000285438	-0.911938415799999	0.0729831952258211
ENSG00000288360	-1.0632776349	0.0893124737858755
